"/media/emoc/EXT_A/BRUT/AK0736/CONV/066.wav";"wav";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0736/CONV/007.wav";"wav";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0736/CONV/027.wav";"wav";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0183/Desktop DF";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0183/Desktop DB";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0605/CONV/001.wav";"wav";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0605/CONV/003.wav";"wav";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0648/CONV/012.wav";"wav";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0648/ANALOG/012.wav";"wav";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0185/Desktop DF";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0185/Desktop DB";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0164/Desktop DF";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0164/FERM PEDA/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0164/sikour skol vamm/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0164/trouziou -jingeliou/ ETRE DAOU HIR/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0164/trouziou -jingeliou/ETRE DAOU BERR/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0164/trouziou -jingeliou/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0164/dz rekipeou/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0164/Desktop DB";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0164/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0058/Desktop DF";"";"application/octet-stream";"data"
"/media/emoc/EXT_A/BRUT/AK0058/TAC  07 2003/Icon_";"";"inode/x-empty";"empty"
"/media/emoc/EXT_A/BRUT/AK0058/Desktop DB";"";"application/octet-stream";"data"
